Subject,Gamble,Domain,p_Meanfix,q_Meanfix,x_Meanfix,y_Meanfix,p_TotalFix,q_TotalFix,x_TotalFix,y_TotalFix,risk_selected,response_time
11,28,1,83.2960000000021,66.6559999999954,99.96349999999802,88.88933333333019,2,2,2,3,0,2054
11,34,1,66.67250000000058,49.979000000006636,49.98350000000937,141.65999999999622,4,2,2,2,0,1648
11,62,1,50.00350000000617,333.0469999999914,122.16466666667839,33.32100000001083,4,1,3,3,0,2117
11,74,1,58.35399999999936,83.34749999998894,111.11899999999635,55.558666666673766,2,2,3,3,0,1565
11,50,1,38.87266666667225,83.3179999999993,33.33299999999872,54.17099999999846,3,2,1,4,0,1805
11,72,1,83.39866666666057,99.99149999998917,61.06533333332724,99.98700000000099,3,2,3,2,0,1826
11,16,1,149.99100000000908,61.12399999999858,99.99000000000524,158.278999999995,1,6,1,2,0,1839
11,19,1,299.9950000000099,83.3350000000064,99.93300000000454,166.67999999999302,1,1,1,1,0,1361
11,58,1,83.34299999999348,0.0,116.68049999999494,99.97899999999208,1,0,2,1,0,1223
11,11,1,99.98699999998401,33.37900000001537,46.6969999999972,133.3279999999795,3,1,5,1,0,1701
11,68,1,216.64100000000326,66.66799999997602,33.33100000000559,49.99850000000151,1,1,1,2,0,1261
11,70,1,58.30000000001746,66.72400000001653,116.63099999999395,216.66199999998207,2,2,1,1,0,1233
11,41,1,83.3634999999922,103.36540000000969,0.0,61.14900000001459,2,5,0,3,0,2013
11,65,1,166.62799999999697,137.4852499999979,0.0,66.66349999999511,1,4,0,2,0,1353
11,32,1,33.33199999999488,83.37300000001414,83.30799999998999,144.47199999998944,1,4,2,3,0,2024
11,56,1,58.350500000000466,66.67199999999139,83.37566666666923,166.71200000002864,2,1,3,1,0,1189
11,27,1,100.00149999999849,166.66400000001886,83.3299999999872,0.0,2,1,1,0,0,1147
11,7,1,49.98100000002887,55.558333333348855,61.109666666665966,95.20828571428345,1,3,3,7,0,2587
11,44,1,50.00500000000466,62.52800000001298,0.0,33.307999999960884,1,4,0,1,0,1640
11,38,1,0.0,66.66500000000815,158.31100000003062,33.33100000000559,0,1,2,1,0,1443
11,71,1,133.20999999999185,166.58199999999488,133.38400000002002,141.7265000000043,1,1,1,2,0,1288
11,13,1,149.99200000005658,150.005333333315,149.92899999997462,108.33299999998417,1,3,1,2,0,1706
11,6,1,80.55083333334672,108.3114999999816,133.31933333331835,133.39099999997416,6,2,3,1,0,2114
11,69,1,96.67680000000401,49.94100000000132,58.34350000000268,141.7895000000135,5,3,4,2,0,2340
11,10,1,116.66799999997602,133.3359999999957,100.00099999998929,45.85275000000547,1,2,1,4,0,1587
11,49,1,41.726000000024214,83.33000000000175,49.98000000001048,0.0,2,2,1,0,0,1161
11,59,1,50.01233333334676,95.8547499999986,158.2235000000219,55.58433333333718,3,4,2,6,0,2512
11,14,1,63.270333333328985,0.0,0.0,266.6900000000023,3,0,0,1,0,1256
11,51,1,166.67199999999139,116.6783333333442,0.0,116.636000000018,1,3,0,3,0,1461
11,73,1,74.99550000000454,33.34399999998277,83.32500000001164,83.34700000000885,2,1,1,2,0,1310
11,63,1,118.78412499999104,179.20400000000518,66.70150000000042,191.60549999999057,8,4,6,2,0,3992
11,61,1,149.9649999999965,183.27999999999884,141.64499999998952,61.1139999999917,1,1,2,3,0,2006
11,39,1,66.66349999999511,158.3124999999709,33.336000000010245,125.02800000001298,2,2,1,4,0,1772
11,24,1,249.97299999999814,33.32600000000093,96.69860000000335,99.98099999997066,2,1,5,2,0,2259
11,2,1,105.55533333334218,61.12233333332309,116.6740000000209,100.03299999998126,3,3,4,2,0,2256
11,23,1,100.0036666666468,49.95899999997346,0.0,100.0,3,1,0,1,0,1316
